timestamp,sleep-total-sleep-duration,sleep-deep-sleep-duration,sleep-light-sleep-duration,sleep-rem-sleep-duration,sleep-snoring-duration,sleep-duration-to-sleep,sleep-duration-to-wakeup,sleep-wakeup-count,sleep-heartrate-mean,sleep-heartrate-min,sleep-heartrate-max
2024-07-26,17.6,4.6167,6.5833,1.9833,0.0,1.6833,0.1667,6,60.0,48.0,79.0
2024-07-27,12.5333,3.65,5.8,0.8167,0.0,1.6,0.0,4,56.0,50.0,77.0
2024-07-28,13.3167,4.6333,6.3333,0.8833,0.0,0.6,0.2667,5,57.0,49.0,77.0
2024-07-29,13.3,3.1167,7.4667,1.4167,0.0,0.1333,0.1833,6,57.0,41.0,78.0
2024-07-30,10.6667,0.0,8.5833,0.2667,0.0,0.8667,0.0,3,58.0,50.0,84.5
2024-07-31,12.8,2.75,7.85,0.65,0.0,0.8,0.2167,3,58.0,51.0,75.0
2024-08-01,10.1833,2.4333,3.9667,1.3333,0.0,0.2833,0.0,5,59.0,48.0,88.0
2024-08-02,10.3167,1.0333,7.15,1.4,0.0,0.25,0.0,4,56.0,46.0,77.0
2024-08-03,13.0667,1.3667,8.1667,1.8667,0.0,0.6333,0.0,5,60.0,53.0,69.0
2024-08-04,13.25,1.5833,7.9333,1.2667,0.0,0.3833,0.0,7,58.0,49.0,84.0
2024-08-05,12.1,0.0,10.1667,0.3,0.0,0.35,0.0,7,60.0,49.0,81.0
2024-08-06,14.1167,0.85,10.2167,1.1333,0.0,0.5667,0.0,10,57.5,49.0,66.5
2024-08-07,13.45,1.0,9.25,0.7833,0.0,1.1667,0.15,6,56.0,48.0,82.0
2024-08-08,15.4,1.7167,10.15,1.7833,0.0,1.1167,0.0,4,58.5,51.0,70.0
2024-08-09,13.0167,1.0333,8.4667,1.3,0.0,0.7167,0.0,3,59.0,50.0,81.0
2024-08-10,12.5667,1.3333,8.2833,1.0333,0.0,0.35,0.0,5,56.0,47.0,78.0
2024-08-11,13.6333,0.2,8.6333,2.0833,0.0,1.7333,0.25,3,54.0,43.0,80.0
2024-08-12,14.2833,0.3833,9.0667,0.8333,0.0,2.8333,0.4167,2,54.0,48.0,70.0
2024-08-13,12.5667,0.55,9.4667,1.35,0.0,0.2833,0.2,4,55.0,47.0,78.0
2024-08-14,12.8833,1.95,8.9667,1.0667,0.0,0.2333,0.0,3,55.0,45.0,78.0
2024-08-15,14.6833,0.4833,10.55,1.8,0.0,0.95,0.0,6,58.0,49.5,78.5
2024-08-16,13.25,1.0,10.25,0.3167,0.0,0.3333,0.0,4,55.0,46.0,91.0
2024-08-17,14.7833,1.35,9.7167,1.55,0.0,0.4667,0.5,6,55.0,46.5,83.5
2024-08-18,12.1833,0.4,9.5167,0.7833,0.0,0.2333,0.0,6,56.0,45.0,81.0
2024-08-19,13.5,0.2667,9.5833,1.0167,0.0,0.4667,0.0,6,53.0,43.0,82.0
2024-08-20,12.7333,0.3167,9.5333,0.2333,0.0,0.5667,0.0,7,57.0,47.5,77.0
2024-08-21,13.4833,0.0,10.85,0.9333,0.0,0.2333,0.0,5,53.0,42.0,81.0
2024-08-22,12.8333,0.7167,10.0667,0.9,0.0,0.15,0.0,4,54.0,43.0,90.0
2024-08-23,13.3333,0.3167,8.5,1.35,0.0,0.5833,0.3333,8,55.0,46.0,79.0
2024-08-24,14.0667,0.4667,9.8,0.5167,0.0,0.9,0.0,5,53.5,44.5,78.0
2024-08-25,12.1667,0.9,8.5167,0.8833,0.0,1.1833,0.0,4,55.0,44.0,85.0
2024-08-26,13.4833,1.8,6.9333,1.5,0.0,0.4,0.0,5,55.0,46.0,84.0
2024-08-27,12.5167,0.0,10.2333,0.55,0.0,0.5,0.1833,6,54.0,44.0,92.0
2024-08-28,13.1333,1.8333,7.2,0.6,0.0,1.9333,0.1667,5,55.0,47.0,82.0
2024-08-29,13.2667,1.2333,7.1667,0.9333,0.0,0.2,0.25,4,53.0,44.0,79.0
2024-08-30,13.75,1.5167,6.2,1.9667,0.0,3.2167,0.0,4,53.0,46.0,74.0
2024-08-31,15.4,2.1667,7.25,1.1333,0.0,1.15,0.6833,5,52.5,46.0,73.0
2024-09-01,8.0833,0.0,4.2333,0.8167,0.0,1.5167,0.0,2,55.5,49.0,67.5
2024-09-02,14.45,0.6167,11.8667,0.0,0.0,0.4167,0.0,2,54.5,47.5,72.0
2024-09-03,12.4,0.95,7.4167,1.4,0.0,1.7167,0.0,4,54.0,47.0,85.0
2024-09-04,12.3667,1.4167,6.85,0.6,0.0,0.7167,0.0,6,51.0,43.0,75.0
2024-09-05,13.55,0.7667,8.65,1.1167,0.0,0.9,0.2833,4,52.0,43.0,85.0
2024-09-06,10.7667,2.9667,3.85,0.75,0.0,2.7833,0.0,2,52.5,47.0,62.5
2024-09-07,15.5667,2.3667,7.9167,1.5,0.0,0.55,0.0,8,54.5,47.0,74.0
2024-09-08,13.2333,1.9,6.95,0.9833,0.0,2.2333,0.0,4,52.0,45.0,73.0
2024-09-09,12.8833,0.6833,7.5,1.2333,0.05,1.95,0.0,5,52.0,44.0,73.0
2024-09-10,12.5667,1.95,6.15,1.85,0.0,1.3,0.2667,5,52.5,46.0,67.5
2024-09-11,13.0667,1.4167,5.8,1.7667,0.0,3.3333,0.0,3,51.0,43.0,70.0
2024-09-12,13.8833,0.2667,8.4167,1.55,0.0,2.7667,0.2,5,52.0,45.0,72.0
2024-09-13,13.95,1.15,8.15,3.1667,0.0,0.7667,0.0,2,55.5,50.5,73.5
2024-09-14,12.4833,1.9667,7.4667,0.9167,0.0,1.6333,0.0,2,57.0,48.0,88.0
2024-09-15,7.95,1.3,4.4833,0.0,0.0,0.6167,0.6833,3,52.5,47.0,68.5
2024-09-16,13.1167,1.4833,8.15,0.9833,0.0,0.55,0.0,5,55.0,46.0,77.0
2024-09-17,12.05,1.0833,7.55,1.2333,0.0,2.05,0.0,1,53.0,44.0,71.0
2024-09-18,13.3167,0.0,9.1333,1.6833,0.0,1.9333,0.3833,2,53.0,42.0,80.0
2024-09-19,6.6833,1.0333,3.7333,0.9333,0.0,0.35,0.0,1,60.0,52.0,73.0
2024-09-20,12.7667,1.1833,8.0,2.3833,0.0,0.2333,0.0,6,55.0,44.0,76.0
2024-09-21,8.3333,1.2833,4.5833,0.6833,0.0,0.8667,0.0,1,56.0,48.5,66.5
2024-09-22,13.45,1.3,7.7,1.4833,0.0,1.7167,0.0,3,55.0,45.0,94.0
2024-09-23,15.55,1.8667,7.7167,1.6167,0.0,0.45,0.0,5,54.0,48.0,82.0
2024-09-24,12.6,2.4167,6.5833,1.3667,0.0,0.8167,0.0,7,53.0,45.0,82.0
2024-09-25,6.1,1.2667,2.45,0.75,0.0,0.3167,0.0,3,51.0,43.0,73.0
